x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
0.0,80.0,35.0,41.918217,0.5640962,-0.17831321,2.3220243,1616.7151,-118.98844,0.0012609924,1.5406245,1.5677356,1.5316787,-0.005660404,0.68717116,0.058258045
